data,sample_size,RMSE,MAE,time_took,kernel
airplane,4880,0.911900445,,35.025541,"Matern(length_scale=1.1, nu=2.5)"
airplane,5680,0.97288372,,52.593316,"Matern(length_scale=1.1, nu=2.5)"
airplane,6480,0.998624355,,75.821868,"Matern(length_scale=1.1, nu=2.5)"
airplane,7280,1.005555339,,105.220599,"Matern(length_scale=1.1, nu=2.5)"
airplane,8080,1.068469904,,141.537372,"Matern(length_scale=1.1, nu=2.5)"
airplane,8880,0.988600265,,185.427714,"Matern(length_scale=1.1, nu=2.5)"
airplane,9680,0.988147164,,237.590314,"Matern(length_scale=1.1, nu=2.5)"
airplane,10480,1.009045152,,298.371758,"Matern(length_scale=1.1, nu=2.5)"
airplane,11280,1.004250706,,367.626081,"Matern(length_scale=1.1, nu=2.5)"
airplane,12080,0.947860283,,448.515774,"Matern(length_scale=1.1, nu=2.5)"
airplane,12880,0.923467956,,540.875854,"Matern(length_scale=1.1, nu=2.5)"
airplane,13680,1.125034303,,643.88542,"Matern(length_scale=1.1, nu=2.5)"
airplane,14480,1.01885462,,759.704647,"Matern(length_scale=1.1, nu=2.5)"
airplane,15280,0.986113531,,887.641539,"Matern(length_scale=1.1, nu=2.5)"
airplane,16080,1.026523143,,1031.86465,"Matern(length_scale=1.1, nu=2.5)"
airplane,16880,0.997433236,,1188.637581,"Matern(length_scale=1.1, nu=2.5)"
airplane,80,1.122789446,,0.02738,"Matern(length_scale=1.1, nu=2.5)"
airplane,880,0.947340202,,0.859287,"Matern(length_scale=1.1, nu=2.5)"
airplane,1680,0.896064906,,3.088863,"Matern(length_scale=1.1, nu=2.5)"
airplane,2480,1.231535343,,7.51226,"Matern(length_scale=1.1, nu=2.5)"
airplane,3280,0.958567582,,14.492112,"Matern(length_scale=1.1, nu=2.5)"
airplane,4080,0.954683302,,24.874112,"Matern(length_scale=1.1, nu=2.5)"
airplane,4880,0.97295016,,39.786622,"Matern(length_scale=1.1, nu=2.5)"
airplane,5680,0.911769091,,59.280722,"Matern(length_scale=1.1, nu=2.5)"
airplane,6480,0.921392065,,85.550461,"Matern(length_scale=1.1, nu=2.5)"
airplane,7280,1.028733421,,118.7997,"Matern(length_scale=1.1, nu=2.5)"
airplane,8080,1.035988179,,160.071838,"Matern(length_scale=1.1, nu=2.5)"
airplane,8880,0.964120656,,209.661872,"Matern(length_scale=1.1, nu=2.5)"
airplane,9680,0.981522017,,268.582996,"Matern(length_scale=1.1, nu=2.5)"
airplane,10480,0.969159014,,337.309759,"Matern(length_scale=1.1, nu=2.5)"
airplane,11280,0.971242762,,416.563373,"Matern(length_scale=1.1, nu=2.5)"
airplane,12080,1.114941687,,508.576809,"Matern(length_scale=1.1, nu=2.5)"
airplane,12880,1.03807381,,612.169842,"Matern(length_scale=1.1, nu=2.5)"
airplane,13680,0.99992995,,710.676826,"Matern(length_scale=1.1, nu=2.5)"
airplane,14480,1.025835072,,861.946042,"Matern(length_scale=1.1, nu=2.5)"
airplane,15280,0.967769119,,1014.860648,"Matern(length_scale=1.1, nu=2.5)"
airplane,16080,0.939876273,,1188.104072,"Matern(length_scale=1.1, nu=2.5)"
airplane,16880,0.961296966,,1364.771529,"Matern(length_scale=1.1, nu=2.5)"
airplane,80,0.817156832,0.595571925,0.059533,"Matern(length_scale=1.1, nu=2.5)"
airplane,880,1.016784413,0.674759169,0.738798,"Matern(length_scale=1.1, nu=2.5)"
airplane,1680,0.97602605,0.692262205,2.844302,"Matern(length_scale=1.1, nu=2.5)"
airplane,2480,0.922430865,0.632492489,6.789347,"Matern(length_scale=1.1, nu=2.5)"
airplane,3280,1.339004318,0.71721986,13.02288,"Matern(length_scale=1.1, nu=2.5)"
airplane,4080,0.999211553,0.662262509,22.120767,"Matern(length_scale=1.1, nu=2.5)"
airplane,4880,0.999898302,0.645120286,35.024913,"Matern(length_scale=1.1, nu=2.5)"
airplane,5680,1.066479175,0.669889948,52.57057,"Matern(length_scale=1.1, nu=2.5)"
airplane,6480,1.116827512,0.652083715,75.877248,"Matern(length_scale=1.1, nu=2.5)"
airplane,7280,0.952947967,0.641957245,105.221568,"Matern(length_scale=1.1, nu=2.5)"
airplane,8080,0.945308845,0.650330124,141.644361,"Matern(length_scale=1.1, nu=2.5)"
airplane,8880,1.018112011,0.659320781,185.471064,"Matern(length_scale=1.1, nu=2.5)"
airplane,9680,1.029194927,0.672692317,237.747349,"Matern(length_scale=1.1, nu=2.5)"
airplane,10480,0.944783926,0.644361171,298.354925,"Matern(length_scale=1.1, nu=2.5)"
airplane,11280,0.945146898,0.646333495,367.812752,"Matern(length_scale=1.1, nu=2.5)"
airplane,12080,0.982013826,0.660778222,448.43217,"Matern(length_scale=1.1, nu=2.5)"
airplane,12880,0.991800809,0.66322635,540.721942,"Matern(length_scale=1.1, nu=2.5)"
airplane,13680,1.077657154,0.667884135,643.756599,"Matern(length_scale=1.1, nu=2.5)"
airplane,14480,1.040854425,0.668265089,759.734418,"Matern(length_scale=1.1, nu=2.5)"
airplane,15280,0.967072992,0.644451506,887.352804,"Matern(length_scale=1.1, nu=2.5)"
airplane,16080,0.950487577,0.656590434,1031.972902,"Matern(length_scale=1.1, nu=2.5)"
airplane,16880,1.001933091,0.66424692,1188.571836,"Matern(length_scale=1.1, nu=2.5)"
airplane,80,0.619219195,,0.133698,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,880,0.903884258,,1.512023,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,1680,0.9798977,,3.814084,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,2480,1.051535749,,8.176449,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,3280,0.995513788,,15.287873,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4080,1.017861088,,25.666588,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,4880,0.918740441,,40.144978,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,5680,1.045985275,,59.542417,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,6480,1.01107155,,84.855919,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,7280,0.950962821,,116.391345,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8080,1.052848927,,155.43274,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,8880,0.948408217,,201.97523,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,9680,0.956168953,,257.124026,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,10480,0.998367903,,321.318572,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,11280,0.960688566,,394.903323,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12080,0.939280205,,479.555997,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,12880,0.930916304,,576.11486,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
airplane,13680,1.050653503,,683.152214,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
