data,sample_size,RMSE,MAE,time_took,kernel
abalone,3200,10.44682966,9.91875,12.662639,"Matern(length_scale=1.1, nu = 2.5)"
abalone,80,10.09950494,9.9,0.019505,"Matern(length_scale=1.1, nu = 2.5)"
abalone,320,10.53268722,10.0375,0.103158,"Matern(length_scale=1.1, nu = 2.5)"
abalone,560,10.43962232,9.885714286,0.293014,"Matern(length_scale=1.1, nu = 2.5)"
abalone,800,10.44341898,9.995,0.649051,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1040,10.51701917,10.00769231,1.245974,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1280,10.33274528,9.865625,1.987884,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1520,10.26247636,9.828947368,2.49355,"Matern(length_scale=1.1, nu = 2.5)"
abalone,1760,10.47930862,9.984090909,3.288529,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2000,10.16572673,9.754,4.252564,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2240,10.58705409,10.03214286,5.634181,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2480,10.30126832,9.806451613,6.894447,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2720,10.48850912,10.00294118,8.53199,"Matern(length_scale=1.1, nu = 2.5)"
abalone,2960,10.35152424,9.889189189,10.351311,"Matern(length_scale=1.1, nu = 2.5)"
abalone,3200,10.265537,9.75625,12.662048,"Matern(length_scale=1.1, nu = 2.5)"
abalone,80,2.847564119,,0.172155,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,480,2.173563234,,5.286637,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,880,2.041394942,,18.595798,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1280,2.051544072,,30.895455,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,1680,2.197751751,,45.030085,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2080,2.26736167,,77.188209,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2480,2.35562171,,110.938181,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,2880,2.161117664,,149.157498,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,3280,1.972783953,,213.358873,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,80,1.747830641,1.450706553,0.165399,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,320,3.019814145,2.098364374,1.907244,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,560,2.434891483,1.627722516,6.2125,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
abalone,800,2.126442306,1.496130819,15.000669,"RationalQuadratic(alpha=0.1, length_scale=0.5)"
