"data","method","sample_size","time.taken","RMSE","MAE"
"SARCOS","alcray",22100,181.7406733,2.504351711,1.476492516
"SARCOS","alcray",22600,182.0717227,2.388142206,1.425318772
"SARCOS","alcray",23100,181.6920502,2.377800232,1.416819586
"SARCOS","alcray",23600,181.5753877,2.538286077,1.455727063
"SARCOS","alcray",24100,183.5716364,2.350251221,1.385566936
"SARCOS","alcray",24600,183.27072,2.38784689,1.358918475
"SARCOS","alcray",25100,183.6372931,2.222526438,1.339028551
"SARCOS","alcray",25600,182.7154222,2.238455484,1.325051357
"SARCOS","alcray",26100,184.5517607,2.323198887,1.330117443
"SARCOS","alcray",26600,184.457917,2.268383294,1.332701531
"SARCOS","alcray",27100,183.5472023,2.185154427,1.29350093
"SARCOS","alcray",27600,183.7114761,2.210640854,1.277714041
"SARCOS","alcray",28100,184.7621007,2.081499885,1.274939613
"SARCOS","alcray",28600,184.1533184,2.00641563,1.214793306
"SARCOS","alcray",29100,184.9442978,2.048514731,1.207203151
"SARCOS","alcray",29600,185.5725195,2.050476408,1.218482262
"SARCOS","alcray",30100,185.9958529,2.017301877,1.215150553
"SARCOS","alcray",30600,184.528182,2.104317638,1.20399573
"SARCOS","alcray",31100,185.192409,1.936471193,1.162078536
"SARCOS","alcray",31600,185.315217,1.900514831,1.154671497
"SARCOS","alcray",32100,185.0008972,2.034367338,1.168930267
"SARCOS","alcray",32600,186.0124416,1.979190945,1.167854744
"SARCOS","alcray",33100,186.4848325,1.91427048,1.135335886
"SARCOS","alcray",33600,185.0648537,2.016065782,1.144462549
"SARCOS","alcray",34100,186.6038413,1.872310675,1.103413404
"SARCOS","alcray",34600,186.9242551,1.909602128,1.105875768
"SARCOS","alcray",35100,187.9419305,1.813037134,1.092904695
"SARCOS","alcray",35600,186.330687,1.927744297,1.10686101
"SARCOS","alcray",36100,186.8469067,1.850628925,1.08584793
"SARCOS","alcray",36600,187.4064221,1.78789312,1.054783427
"SARCOS","alcray",37100,187.2982986,1.807037852,1.029465759
"SARCOS","alcray",37600,187.5079691,1.731306602,1.028519958
"SARCOS","alcray",38100,187.5456774,1.660687488,1.002329708
"SARCOS","alcray",38600,187.2491486,1.694475613,1.034293349
"SARCOS","alcray",39100,187.4527059,1.672106167,1.006972934
"SARCOS","alcray",39600,188.2383225,1.885509182,1.043180114
"SARCOS","alcray",40100,187.4187152,1.65431149,0.973597783
"SARCOS","alcray",40600,187.6456881,1.580879301,0.977231519
