method,sample_size,time.taken,RMSE,MAE
alc,23100,219.6869025,2.475752803,1.486510971
alc,23600,219.3359206,2.360896681,1.434022092
alc,24100,219.8827081,2.492543149,1.487180172
alc,24600,219.1699574,2.509935125,1.467277737
alc,25100,220.4892287,2.541860836,1.425566961
alc,25600,219.1068943,2.443079763,1.369352413
alc,26100,218.5837071,2.244073496,1.374443994
alc,26600,220.4227667,2.256843755,1.371107103
alc,27100,219.6176147,2.560067321,1.362590462
alc,27600,220.4156382,2.306973443,1.370157817
alc,28100,219.0548368,2.256078655,1.356882457
alc,28600,219.259933,2.29974111,1.366017689
alc,29100,220.7035913,2.263032898,1.332182949
alc,29600,219.752856,2.172065542,1.294407461
alc,30100,220.4566283,2.273499412,1.33075428
alc,30600,220.9561362,2.263006327,1.329623658
alc,31100,220.035744,2.082053417,1.25602242
alc,31600,219.702389,2.230729732,1.295488198
alc,32100,219.6498308,2.067184205,1.255224596
alc,32600,220.6300836,2.170266099,1.261224822
alc,33100,219.9735334,2.033480277,1.222941375
alc,33600,219.6466403,2.136390509,1.252366277
alc,34100,220.3503423,2.044434953,1.214449572
alc,34600,220.8218098,1.998330759,1.191160555
alc,35100,219.9988041,1.959438406,1.18887753
alc,35600,219.7842765,1.906491337,1.148485517
alc,36100,220.2879882,1.92038363,1.190577155
alc,36600,220.227037,1.933227674,1.183943968
alc,37100,220.5458243,1.910570876,1.165866415
alc,37600,220.1793168,1.843539613,1.136305395
alc,38100,220.8689458,1.881256549,1.162925396
alc,38600,219.856317,1.902065618,1.137444596
alc,39100,220.1635096,1.807098911,1.120027969
alc,39600,220.2995391,1.84091729,1.113230538
alc,40100,220.7052238,1.741872897,1.073297702
alc,40600,220.6976798,1.801275518,1.093917768
alc,41100,220.0253308,1.83731738,1.100206528
alc,41600,220.2496355,1.745857747,1.083751299
alc,42100,220.6955512,1.818849753,1.076295221
alc,42600,220.9632773,1.737832248,1.082968698
alc,43100,220.2789419,1.71006213,1.06545819
alc,43600,221.4594176,1.716715049,1.049482858
alc,44100,220.6941671,1.693233805,1.036448593
