"data","method","sample_size","time.taken","RMSE","MAE"
"SARCOS","rbfdot",11100,1264.635294,3.552239872,2.4322678455
"SARCOS","rbfdot",11600,1454.708223,3.557887411,2.421790277
"SARCOS","rbfdot",12100,1628.518885,3.577760832,2.399215724
"SARCOS","rbfdot",12600,1862.107658,3.49523804,2.401887767
"SARCOS","rbfdot",13100,2061.000457,3.488914754,2.356064592
"SARCOS","rbfdot",13600,2300.785616,3.44438681,2.35380109
"SARCOS","rbfdot",14100,2568.591264,3.451575451,2.347208528
"SARCOS","vanilladot",100,0.036973476,6.033177594,4.318668099
"SARCOS","vanilladot",600,0.41256547,5.757342207,4.02304524
"SARCOS","vanilladot",1100,1.306790352,5.616997175,3.973141753
"SARCOS","vanilladot",1600,3.658359289,5.645587197,3.967903964
"SARCOS","vanilladot",2100,8.160810947,5.61953208,3.988198292
"SARCOS","vanilladot",2600,15.1372242,5.605110557,3.96532192
"SARCOS","vanilladot",3100,27.88994694,5.597025785,3.956370315
"SARCOS","vanilladot",3600,44.00450754,5.597783756,3.931568926
"SARCOS","vanilladot",4100,65.79768419,5.592104867,3.942205639
"SARCOS","vanilladot",4600,93.50508428,5.593097882,3.948113893
"SARCOS","vanilladot",5100,127.1484709,5.595194015,3.9663674
"SARCOS","vanilladot",5600,164.9374762,5.593963493,3.93645809
"SARCOS","vanilladot",6100,213.7506151,5.587393382,3.951309047
"SARCOS","vanilladot",6600,268.3685939,5.589639836,3.951170007
"SARCOS","vanilladot",7100,334.9282172,5.584030652,3.938777894
"SARCOS","vanilladot",7600,406.6606915,5.58359433,3.943376882
"SARCOS","vanilladot",8100,491.7294211,5.584767326,3.940107531
"SARCOS","vanilladot",8600,589.1047933,5.580931066,3.946738838
"SARCOS","vanilladot",9100,704.0939484,5.581876181,3.93492075
"SARCOS","vanilladot",9600,823.5789964,5.581426853,3.938266958
"SARCOS","vanilladot",10100,953.6887829,5.577997301,3.946212575
"SARCOS","vanilladot",10600,1138.499715,5.581587496,3.952106717
"SARCOS","vanilladot",11100,1307.768817,5.578177141,3.941489039
"SARCOS","vanilladot",11600,1486.648295,5.578511937,3.947607405
"SARCOS","vanilladot",12100,1690.231982,5.58329297,3.948928867
"SARCOS","vanilladot",12600,1909.804255,5.578807765,3.944661649
"SARCOS","vanilladot",13100,2154.096011,5.576710958,3.955495949
"SARCOS","vanilladot",13600,2398.770425,5.581765449,3.948830233
"SARCOS","vanilladot",14100,2692.982287,5.576218173,3.94400893
"SARCOS","vanilladot",14600,2988.469974,5.579521555,3.942724442
"SARCOS","vanilladot",15100,3298.534234,5.577211569,3.94028037
"SARCOS","vanilladot",15600,3495.265439,5.577457626,3.939153813
"SARCOS","vanilladot",16100,3789.574707,5.57898873,3.944513027
"SARCOS","vanilladot",16600,4198.1369,5.579622538,3.94573485
"SARCOS","vanilladot",17100,4587.161586,5.577296508,3.949766525
"SARCOS","vanilladot",17600,4961.688071,5.577809627,3.94580079
"SARCOS","vanilladot",18100,5428.62894,5.577656507,3.939365279
